[INFO ] 2021-05-10 10:10:00.690 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:10:09.667 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:10:20.336 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:10:37.777 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:10:53.309 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:11:07.059 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:13:37.197 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:14:01.966 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:15:35.440 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:16:29.678 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:16:47.768 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:19:09.724 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:20:01.463 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:20:14.845 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:20:26.061 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:20:46.528 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:20:50.489 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:21:22.601 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:22:28.634 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:22:40.033 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:22:47.689 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:22:53.053 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:23:01.427 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:23:22.229 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:23:52.280 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:24:40.152 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:24:47.415 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:25:46.229 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:27:11.538 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:27:24.822 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:27:49.463 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:29:02.656 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:29:16.666 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:29:32.514 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:30:39.981 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:30:57.300 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:32:00.636 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:32:23.104 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:34:09.527 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:37:09.751 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:40:26.137 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:41:23.003 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:41:53.449 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:42:36.074 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:42:44.057 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:43:04.514 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:43:15.252 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:43:37.064 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:43:41.160 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:44:19.368 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:44:24.143 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:44:33.915 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:44:39.090 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:44:42.648 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:46:03.600 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:47:15.832 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:47:24.252 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:48:21.091 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:48:29.580 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:48:41.256 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:48:57.646 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:49:01.945 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:49:05.632 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:49:11.845 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:49:32.532 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:49:59.392 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:50:25.116 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:50:31.680 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:50:36.689 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:51:11.504 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:51:21.787 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:51:35.111 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:53:02.578 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:53:58.426 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:54:07.509 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
